accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF943WFE,hg19,"[1, 2]",bigWig,2381652887,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/07/33b01cd5-b116-4b59-ae2b-57a3ce06b670/ENCFF943WFE.bigWig,human,GM12878,SMARCA5
ENCFF305FZG,hg19,"[2, 3]",bigWig,2380356512,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/766ff95b-8a79-4628-b220-a0ec5110aaad/ENCFF305FZG.bigWig,human,K562,TARDBP
ENCFF847GKQ,hg19,"[1, 2]",bigWig,2379654715,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/01/bba292d0-0ee9-4690-a957-e80db5d49553/ENCFF847GKQ.bigWig,human,K562,SMARCA5
ENCFF012LGL,hg19,"[1, 2]",bigWig,2375935511,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/12/063e752b-8144-4b07-91eb-30214d6e9f89/ENCFF012LGL.bigWig,human,MCF-7,NFRKB
ENCFF092NLA,hg19,"[1, 2]",bigWig,2371873154,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/24a31e2c-4dc7-4000-81ad-85b2593aed71/ENCFF092NLA.bigWig,human,K562,ZNF318
ENCFF112LWM,hg19,"[1, 2]",bigWig,2363990264,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/09/7618259e-4f78-43be-8132-284922ae7617/ENCFF112LWM.bigWig,human,K562,CTBP1
ENCFF259JBX,hg19,"[1, 2]",bigWig,2363794254,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/5c63c9b1-fd2d-477d-b034-ec7b71b6bfda/ENCFF259JBX.bigWig,human,K562,NR0B1
ENCFF502QYQ,hg19,"[1, 2]",bigWig,2359934095,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/12/2d08551e-affc-48b2-a11e-fec442eaf5ff/ENCFF502QYQ.bigWig,human,GM12878,NFXL1
ENCFF998OVR,hg19,"[1, 2]",bigWig,2359855282,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/07/a5aa9da7-a08f-4686-8c9e-23fc60faeb1a/ENCFF998OVR.bigWig,human,GM12878,ZNF217
ENCFF180ANI,hg19,"[1, 2]",bigWig,2353987860,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/07/72e931e5-08d6-4601-a840-6e73ea7ca916/ENCFF180ANI.bigWig,human,MCF-7,CSDE1
ENCFF027DSF,hg19,"[1, 2]",bigWig,2351268063,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/03/68a9221d-f43c-40ee-95cb-5d21d092a117/ENCFF027DSF.bigWig,human,MCF-7,NFIB
ENCFF163KRR,hg19,"[1, 2]",bigWig,2347615591,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/07/423ca44e-a21f-4b76-acb4-dd411e1fba8e/ENCFF163KRR.bigWig,human,MCF-7,COPS2
ENCFF367JBJ,hg19,"[2, 3]",bigWig,2346676023,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/05/91f619f6-d60c-48ec-bfb5-d5fbe44ce4da/ENCFF367JBJ.bigWig,human,A549,MAFK
ENCFF292XER,hg19,"[1, 2]",bigWig,2345999702,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/6bfd0901-d0ca-4190-8f0f-50e3e8893658/ENCFF292XER.bigWig,human,MCF-7,PAX8
ENCFF768XUV,hg19,"[1, 2]",bigWig,2344778162,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/70f4b48f-47b7-4b0c-a098-bd12600600a4/ENCFF768XUV.bigWig,human,MCF-7,GATAD2B
ENCFF133LHQ,hg19,"[1, 2]",bigWig,2344054144,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/24/aa7a1dcd-bda9-485d-b920-3f9da110d3a3/ENCFF133LHQ.bigWig,human,GM12878,ZNF24
ENCFF881ROP,hg19,"[1, 2]",bigWig,2342261097,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/37ade302-43a3-4c8d-9cac-024cad72481a/ENCFF881ROP.bigWig,human,HEK293,eGFP-ZSCAN5C
ENCFF291GOY,hg19,"[2, 3]",bigWig,2339017478,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/04/18/2dbb830c-c06f-49cd-b3f0-890ce2f9a76a/ENCFF291GOY.bigWig,human,HEK293,eGFP-ZNF549
ENCFF926PVX,hg19,"[1, 2]",bigWig,2336654093,fold change over control,released,https://encode-public.s3.amazonaws.com/2015/11/03/f88ef5a8-f2a0-4a1d-bff2-8514804fd6f8/ENCFF926PVX.bigWig,human,MCF-7,ESRRA
ENCFF463YMM,hg19,"[1, 2]",bigWig,2334225605,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/fde31dc4-ae5d-4b7b-aa26-cc02d17a6a62/ENCFF463YMM.bigWig,human,GM12878,PAX8
ENCFF783IOJ,hg19,"[1, 2]",bigWig,2334099370,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/08/31/ad151280-bd07-4039-8b79-a3343d2ab69d/ENCFF783IOJ.bigWig,human,K562,ATF3
ENCFF172UMG,hg19,"[1, 2]",bigWig,2333828353,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/16/9eb7827a-61c5-45eb-813b-76e17a2e09e8/ENCFF172UMG.bigWig,human,HEK293,eGFP-ZNF394
ENCFF586CXD,hg19,"[1, 2]",bigWig,2330050477,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/6aae4e62-8336-4e24-95a3-c68cde40ab09/ENCFF586CXD.bigWig,human,HepG2,ZBTB40
ENCFF230NBV,hg19,"[2, 3]",bigWig,2326527156,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/06/06/ca1efb31-b294-47f0-86ef-30b610260175/ENCFF230NBV.bigWig,human,K562,MTA3
ENCFF547KCR,hg19,"[1, 2]",bigWig,2324760119,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/7d96d0ed-b8f4-4604-b4aa-5ebc6d707cb8/ENCFF547KCR.bigWig,human,K562,NCOA6
ENCFF770SFT,hg19,"[2, 3]",bigWig,2323707230,fold change over control,released,https://encode-public.s3.amazonaws.com/2015/12/11/bcff0f36-7f80-4872-8241-38cd57be3913/ENCFF770SFT.bigWig,human,K562,SKIL
ENCFF996DZN,hg19,"[1, 4]",bigWig,2323495484,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/11/0786c987-6ff7-4dc3-8615-40198bf1edf7/ENCFF996DZN.bigWig,human,GM12878,ZBTB33
ENCFF185VWZ,hg19,"[1, 3]",bigWig,2316830772,fold change over control,released,https://encode-public.s3.amazonaws.com/2015/12/11/4eaf6c7e-be04-4799-9b4e-668f00a652be/ENCFF185VWZ.bigWig,human,MCF-7,FOS
