accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF202CXC,hg19,"[1, 2]",bigWig,710518697,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/347227ea-050f-40f2-97ce-5f676d56b8ad/ENCFF202CXC.bigWig,human,HepG2,3xFLAG-RERE
ENCFF010ZCB,hg19,"[1, 2]",bigWig,708524030,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/16/0320b21c-bd41-4a85-a7c9-4bbd61f846e7/ENCFF010ZCB.bigWig,human,HepG2,3xFLAG-MBD1
ENCFF215XMA,hg19,"[1, 2]",bigWig,702648994,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/29/4bb67942-2cb0-475b-8f72-a540de53f960/ENCFF215XMA.bigWig,human,HepG2,3xFLAG-GABPA
ENCFF117LOH,hg19,"[1, 2]",bigWig,699468333,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/13/ea69c338-5f0d-4dae-97a1-4ac62bb1cf34/ENCFF117LOH.bigWig,human,HepG2,POLR2AphosphoS2
ENCFF819OJE,hg19,"[1, 2]",bigWig,698819592,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/900b8a69-3632-43c4-9bfb-31692dca3fd4/ENCFF819OJE.bigWig,human,K562,eGFP-ZNF584
ENCFF784XPD,hg19,"[1, 2]",bigWig,698549701,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/f447448e-0bda-40df-9fd5-d8985b34e464/ENCFF784XPD.bigWig,human,K562,eGFP-ZNF589
ENCFF759IZG,hg19,"[1, 2]",bigWig,695936594,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/07/9bc66dba-3452-4da3-b8b7-c503a79fafde/ENCFF759IZG.bigWig,human,HepG2,BRCA1
ENCFF655UCC,hg19,"[1, 2]",bigWig,693013070,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/ed937945-0985-4cfa-a858-3725e04f8489/ENCFF655UCC.bigWig,human,HepG2,HNF4G
ENCFF339CZB,hg19,"[1, 2]",bigWig,692238404,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/4e720782-b4ba-49b6-b3f7-fed492a5668d/ENCFF339CZB.bigWig,human,H1,POLR2A
ENCFF970TCG,hg19,"[1, 2]",bigWig,692104826,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/01/27/562d7a27-c839-4f02-9f46-fbca07bf21ce/ENCFF970TCG.bigWig,human,HepG2,3xFLAG-HHEX
ENCFF357FTO,hg19,"[1, 2]",bigWig,691094163,fold change over control,released,https://encode-public.s3.amazonaws.com/2019/05/14/f280cc54-378c-417e-b23b-58fd49a54913/ENCFF357FTO.bigWig,human,HepG2,JUN
